Year,Origin_Country_Code,Origin_Country,Destination_Country_Code,Destination_Country,Purpose,Duration,Expenditure_Type,Total_Expenditure_EUR,Avg_Exp_per_Trip_EUR,Avg_Exp_per_Night_EUR
2019,CH,Switzerland,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,150746283.0,515.43,235.45
2019,CZ,Czechia,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,57089936.0,201.97,86.65
2022,CZ,Czechia,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,52424965.0,251.23,99.39
2019,DE,Germany,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,1129304425.0,337.69,139.85
2022,DE,Germany,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,1442021716.0,416.05,179.45
2019,ES,Spain,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,42021062.0,469.83,177.13
2019,FR,France,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,30442925.0,421.34,153.65
2019,HR,Croatia,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,22772099.0,229.81,123.1
2022,HR,Croatia,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,13759419.0,238.45,120.97
2019,HU,Hungary,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,63993987.0,132.91,69.0
2022,HU,Hungary,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,77666452.0,152.69,68.19
2019,IT,Italy,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,111546656.0,311.8,166.05
2022,IT,Italy,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,120132585.0,424.48,178.39
2019,LU,Luxembourg,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,12916301.0,750.74,277.21
2022,LU,Luxembourg,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,10362930.0,739.84,301.83
2019,NL,Netherlands,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,54802767.0,524.38,188.45
2022,NL,Netherlands,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,35642272.0,350.66,132.1
2019,PL,Poland,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,19634440.0,368.63,138.49
2022,PL,Poland,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,17268308.0,246.57,94.15
2019,RO,Romania,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,13886650.0,382.73,137.64
2019,SI,Slovenia,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,15687222.0,137.48,74.43
2022,SI,Slovenia,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,18056512.0,296.82,144.2
2019,SK,Slovakia,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,42975271.0,235.93,103.28
2022,SK,Slovakia,AT,Austria,Personal reasons,From 1 to 3 nights,Total excluding durable/valuable goods,31226049.0,329.26,141.64
2019,AL,Albania,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,2447666.0,128.07,32.9
2019,BE,Belgium,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,274671134.0,776.87,120.16
2022,BE,Belgium,AT,Austria,Personal reasons,1 night or over,Package arrangement,54824383.0,165.89,24.39
2019,CY,Cyprus,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,26385470.0,988.55,203.11
2019,DK,Denmark,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,272512071.0,1158.98,175.38
2019,EL,Greece,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,23634661.0,621.12,96.67
2022,EL,Greece,AT,Austria,Personal reasons,1 night or over,Package arrangement,7214135.0,572.14,100.74
2022,ES,Spain,AT,Austria,Personal reasons,1 night or over,Package arrangement,25604983.0,153.76,20.76
2019,FI,Finland,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,92610928.0,1046.08,181.66
2022,FR,France,AT,Austria,Personal reasons,1 night or over,Package arrangement,80240462.0,264.94,38.13
2019,IE,Ireland,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,75538140.0,1119.67,188.5
2019,LT,Lithuania,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,10226500.0,784.59,144.49
2022,LT,Lithuania,AT,Austria,Personal reasons,1 night or over,Package arrangement,3186260.0,202.31,25.28
2019,MT,Malta,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,14423539.0,943.12,175.3
2022,MT,Malta,AT,Austria,Personal reasons,1 night or over,Package arrangement,1579547.0,146.05,27.88
2019,PT,Portugal,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,13685923.0,811.47,156.05
2022,PT,Portugal,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,11731564.0,721.83,123.23
2022,RO,Romania,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,70289475.0,751.98,117.28
2019,SE,Sweden,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,279206399.0,1557.89,214.89
